
#### RUN: 2018.04.06.08.10.23
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 1            100.00%
exec.queue.enable                                    0                 1            94.72%
planner.broadcast_factor                             1                 0.4          81.46%
planner.broadcast_threshold                          1e+07             7.5e+06      99.95%
planner.slice_target                              1000              3000            55.77%
planner.width.max_per_query                       1000              1750            99.29%
exec.min_hash_table_size                         65536             16384            100.00%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  98.95%
exec.queue.large                                    10                 5            98.08%
exec.queue.small                                   100               300            91.50%
exec.queue.threshold                                 3e+07             3.75e+07     99.88%
exec.queue.timeout_millis                       300000            375000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       1.34218e+08  99.92%
planner.width.max_per_node                           5                 5            100.00%
planner.add_producer_consumer                        0                 0            100.00%
planner.enable_hashjoin_swap                         1                 0            100.00%
planner.enable_mergejoin                             1                 0            59.81%
planner.filter.max_selectivity_estimate_factor       1                 0.9          100.00%
planner.filter.min_selectivity_estimate_factor       0                 0.5          100.00%
planner.join.hash_join_swap_margin_factor           10                 2            100.00%
planner.join.row_count_estimate_factor               1                 1.5          99.86%
planner.memory.average_field_width                   8                18            100.00%
planner.memory.hash_agg_table_factor                 1.1               1.05         100.00%
planner.memory.hash_join_table_factor                1.1               1.05         100.00%
planner.memory.non_blocking_operators_memory        64                 8            100.00%
planner.partitioner_sender_max_threads               8                 2            94.34%
planner.nestedloopjoin_factor                      100                25            100.00%
planner.producer_consumer_queue_size                10                12.5          100.00%
store.text.estimated_row_size_bytes                100               600            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
