
#### RUN: 2018.03.29.22.19.25
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 1            99.43%
planner.broadcast_factor                             1                 2            100.00%
planner.broadcast_threshold                          1e+07             2e+07        100.00%
planner.slice_target                              1000              1000            99.61%
planner.width.max_per_query                       1000              3000            97.86%
exec.min_hash_table_size                         65536             32768            100.00%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  100.00%
exec.queue.large                                    10                 2.5          100.00%
exec.queue.small                                   100                50            100.00%
exec.queue.threshold                                 3e+07             2.25e+07     81.90%
exec.queue.timeout_millis                       300000            150000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       2.68435e+08  100.00%
planner.width.max_per_node                           5                 5            100.00%
planner.add_producer_consumer                        0                 1            100.00%
planner.enable_hashjoin_swap                         1                 1            97.86%
planner.enable_mergejoin                             1                 1            85.90%
planner.filter.max_selectivity_estimate_factor       1                 0.7          99.99%
planner.filter.min_selectivity_estimate_factor       0                 0.3          100.00%
planner.join.hash_join_swap_margin_factor           10                25            99.90%
planner.join.row_count_estimate_factor               1                 0.25         100.00%
planner.memory.average_field_width                   8                10            100.00%
planner.memory.hash_agg_table_factor                 1.1               1.05         99.86%
planner.memory.hash_join_table_factor                1.1               1            50.00%
planner.memory.non_blocking_operators_memory        64                32            99.98%
planner.partitioner_sender_max_threads               8                 4            84.54%
planner.nestedloopjoin_factor                      100               125            100.00%
planner.producer_consumer_queue_size                10                 4            97.49%
store.text.estimated_row_size_bytes                100               150            65.81%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
