
#### RUN: 2018.03.31.23.07.56
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 0            100.00%
planner.broadcast_factor                             1                 0.2          100.00%
planner.broadcast_threshold                          1e+07             1.75e+07     94.27%
planner.slice_target                              1000              2000            100.00%
planner.width.max_per_query                       1000               500            82.81%
exec.min_hash_table_size                         65536            262144            100.00%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  100.00%
exec.queue.large                                    10                 2.5          100.00%
exec.queue.small                                   100               100            80.24%
exec.queue.threshold                                 3e+07             4.5e+07      86.91%
exec.queue.timeout_millis                       300000            225000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       1.34218e+08  94.31%
planner.width.max_per_node                           5                 4            100.00%
planner.add_producer_consumer                        0                 0            100.00%
planner.enable_hashjoin_swap                         1                 0            99.99%
planner.enable_mergejoin                             1                 0            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.6          69.53%
planner.filter.min_selectivity_estimate_factor       0                 0.5          100.00%
planner.join.hash_join_swap_margin_factor           10                17.5          100.00%
planner.join.row_count_estimate_factor               1                 1.25         100.00%
planner.memory.average_field_width                   8                 2            50.87%
planner.memory.hash_agg_table_factor                 1.1               1.2          98.77%
planner.memory.hash_join_table_factor                1.1               1.3          99.99%
planner.memory.non_blocking_operators_memory        64                16            100.00%
planner.partitioner_sender_max_threads               8                 4            100.00%
planner.nestedloopjoin_factor                      100               125            100.00%
planner.producer_consumer_queue_size                10                10            99.72%
store.text.estimated_row_size_bytes                100               500            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
