
#### RUN: 2018.04.10.11.10.09
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 1            100.00%
planner.broadcast_factor                             1                 0.3          100.00%
planner.broadcast_threshold                          1e+07             1.75e+07     100.00%
planner.slice_target                              1000              1000            100.00%
planner.width.max_per_query                       1000              1500            100.00%
exec.min_hash_table_size                         65536             16384            100.00%
exec.max_hash_table_size                             1.07374e+09       1.07374e+09  100.00%
exec.queue.large                                    10                20            100.00%
exec.queue.small                                   100               175            100.00%
exec.queue.threshold                                 3e+07             4.5e+07      68.28%
exec.queue.timeout_millis                       300000            100000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       2.68435e+08  100.00%
planner.width.max_per_node                           5                 4            100.00%
planner.add_producer_consumer                        0                 1            100.00%
planner.enable_hashjoin_swap                         1                 1            100.00%
planner.enable_mergejoin                             1                 1            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.6          68.26%
planner.filter.min_selectivity_estimate_factor       0                 0.2          99.98%
planner.join.hash_join_swap_margin_factor           10                 5            100.00%
planner.join.row_count_estimate_factor               1                 0.5          67.75%
planner.memory.average_field_width                   8                16            91.58%
planner.memory.hash_agg_table_factor                 1.1               1.05         92.18%
planner.memory.hash_join_table_factor                1.1               1.2          95.90%
planner.memory.non_blocking_operators_memory        64                16            99.44%
planner.partitioner_sender_max_threads               8                 6            100.00%
planner.nestedloopjoin_factor                      100               150            100.00%
planner.producer_consumer_queue_size                10                12.5          99.91%
store.text.estimated_row_size_bytes                100               150            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
