
#### RUN: 2018.04.06.14.52.00
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 0            100.00%
planner.broadcast_factor                             1                 2.5          44.74%
planner.broadcast_threshold                          1e+07             2e+07        58.64%
planner.slice_target                              1000              1750            100.00%
planner.width.max_per_query                       1000              2000            99.97%
exec.min_hash_table_size                         65536             16384            100.00%
exec.max_hash_table_size                             1.07374e+09       1.07374e+09  97.05%
exec.queue.large                                    10                 7.5          99.96%
exec.queue.small                                   100               400            99.97%
exec.queue.threshold                                 3e+07             4.5e+07      96.56%
exec.queue.timeout_millis                       300000            450000            92.92%
planner.memory.max_query_memory_per_node             2.68435e+08       2.68435e+08  100.00%
planner.width.max_per_node                           5                 4            100.00%
planner.add_producer_consumer                        0                 1            100.00%
planner.enable_hashjoin_swap                         1                 0            100.00%
planner.enable_mergejoin                             1                 1            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.5          97.98%
planner.filter.min_selectivity_estimate_factor       0                 0.5          99.99%
planner.join.hash_join_swap_margin_factor           10                15            99.99%
planner.join.row_count_estimate_factor               1                 4            100.00%
planner.memory.average_field_width                   8                 6            91.71%
planner.memory.hash_agg_table_factor                 1.1               1.5          100.00%
planner.memory.hash_join_table_factor                1.1               1            99.99%
planner.memory.non_blocking_operators_memory        64               512            100.00%
planner.partitioner_sender_max_threads               8                 2            99.96%
planner.nestedloopjoin_factor                      100               200            100.00%
planner.producer_consumer_queue_size                10                 7.5          100.00%
store.text.estimated_row_size_bytes                100              1000            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
