
#### RUN: 2018.03.31.06.52.48
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 0            100.00%
planner.broadcast_factor                             1                 2            100.00%
planner.broadcast_threshold                          1e+07        100000            100.00%
planner.slice_target                              1000              5000            100.00%
planner.width.max_per_query                       1000              1500            65.10%
exec.min_hash_table_size                         65536             32768            93.15%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  74.13%
exec.queue.large                                    10                 7.5          100.00%
exec.queue.small                                   100               200            100.00%
exec.queue.threshold                                 3e+07             1.5e+07      100.00%
exec.queue.timeout_millis                       300000            100000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       1.34218e+08  100.00%
planner.width.max_per_node                           5                 3            92.90%
planner.add_producer_consumer                        0                 0            66.81%
planner.enable_hashjoin_swap                         1                 0            100.00%
planner.enable_mergejoin                             1                 1            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.6          100.00%
planner.filter.min_selectivity_estimate_factor       0                 0.1          100.00%
planner.join.hash_join_swap_margin_factor           10                25            97.86%
planner.join.row_count_estimate_factor               1                 0.25         100.00%
planner.memory.average_field_width                   8                18            91.14%
planner.memory.hash_agg_table_factor                 1.1               1.5          99.69%
planner.memory.hash_join_table_factor                1.1               1.1          93.06%
planner.memory.non_blocking_operators_memory        64                32            93.28%
planner.partitioner_sender_max_threads               8                 8            100.00%
planner.nestedloopjoin_factor                      100               175            96.15%
planner.producer_consumer_queue_size                10                17.5          100.00%
store.text.estimated_row_size_bytes                100               500            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
