
#### RUN: 2018.04.07.12.02.50
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 1            51.67%
planner.broadcast_factor                             1                 0.75         100.00%
planner.broadcast_threshold                          1e+07             7.5e+06      100.00%
planner.slice_target                              1000              5000            100.00%
planner.width.max_per_query                       1000               750            97.58%
exec.min_hash_table_size                         65536            262144            94.12%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  100.00%
exec.queue.large                                    10                20            100.00%
exec.queue.small                                   100               100            98.92%
exec.queue.threshold                                 3e+07             5e+06        100.00%
exec.queue.timeout_millis                       300000             25000            100.00%
planner.memory.max_query_memory_per_node             2.68435e+08       1.34218e+08  100.00%
planner.width.max_per_node                           5                 4            100.00%
planner.add_producer_consumer                        0                 1            93.27%
planner.enable_hashjoin_swap                         1                 1            100.00%
planner.enable_mergejoin                             1                 0            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.8          100.00%
planner.filter.min_selectivity_estimate_factor       0                 0            97.55%
planner.join.hash_join_swap_margin_factor           10                15            100.00%
planner.join.row_count_estimate_factor               1                 1            99.99%
planner.memory.average_field_width                   8                 2            64.61%
planner.memory.hash_agg_table_factor                 1.1               1.4          100.00%
planner.memory.hash_join_table_factor                1.1               1.1          100.00%
planner.memory.non_blocking_operators_memory        64               512            100.00%
planner.partitioner_sender_max_threads               8                16            100.00%
planner.nestedloopjoin_factor                      100                75            100.00%
planner.producer_consumer_queue_size                10                17.5          77.95%
store.text.estimated_row_size_bytes                100               800            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
